EID;Resolver;Locator Count Consistence
37.77.56.36;217.8.98.46;True
37.77.56.40;149.20.48.61;True
37.77.56.40;149.20.48.77;True
37.77.56.40;173.36.254.164;True
37.77.56.40;193.162.145.50;True
37.77.56.40;195.50.116.18;True
37.77.56.40;198.6.255.37;True
37.77.56.40;198.6.255.40;True
37.77.56.40;202.51.247.10;True
37.77.56.40;202.214.86.252;True
37.77.56.40;206.223.132.89;True
37.77.56.40;217.8.97.6;True
37.77.56.40;217.8.98.42;True
37.77.56.40;217.8.98.46;True
37.77.56.48;149.20.48.61;True
37.77.56.48;149.20.48.77;True
37.77.56.48;173.36.254.164;True
37.77.56.48;193.162.145.50;True
37.77.56.48;195.50.116.18;True
37.77.56.48;198.6.255.37;True
37.77.56.48;198.6.255.40;True
37.77.56.48;202.51.247.10;True
37.77.56.48;202.214.86.252;True
37.77.56.48;206.223.132.89;True
37.77.56.48;217.8.97.6;True
37.77.56.48;217.8.98.42;True
37.77.56.48;217.8.98.46;True
37.77.56.64;149.20.48.61;True
37.77.56.64;149.20.48.77;True
37.77.56.64;173.36.254.164;True
37.77.56.64;193.162.145.50;True
37.77.56.64;195.50.116.18;True
37.77.56.64;198.6.255.37;True
37.77.56.64;198.6.255.40;True
37.77.56.64;202.51.247.10;True
37.77.56.64;202.214.86.252;True
37.77.56.64;206.223.132.89;True
37.77.56.64;217.8.97.6;True
37.77.56.64;217.8.98.42;True
37.77.56.64;217.8.98.46;True
37.77.56.128;149.20.48.61;True
37.77.56.128;149.20.48.77;True
37.77.56.128;173.36.254.164;True
37.77.56.128;193.162.145.50;True
37.77.56.128;195.50.116.18;True
37.77.56.128;198.6.255.37;True
37.77.56.128;198.6.255.40;True
37.77.56.128;202.51.247.10;True
37.77.56.128;202.214.86.252;True
37.77.56.128;206.223.132.89;True
37.77.56.128;217.8.97.6;True
37.77.56.128;217.8.98.42;True
37.77.56.128;217.8.98.46;True
37.77.57.0;149.20.48.61;True
37.77.57.0;149.20.48.77;True
37.77.57.0;173.36.254.164;True
37.77.57.0;193.162.145.50;True
37.77.57.0;195.50.116.18;True
37.77.57.0;198.6.255.37;True
37.77.57.0;198.6.255.40;True
37.77.57.0;202.51.247.10;True
37.77.57.0;202.214.86.252;True
37.77.57.0;206.223.132.89;True
37.77.57.0;217.8.97.6;True
37.77.57.0;217.8.98.42;True
37.77.57.0;217.8.98.46;True
37.77.57.8;149.20.48.61;True
37.77.57.8;149.20.48.77;True
37.77.57.8;173.36.254.164;True
37.77.57.8;193.162.145.50;True
37.77.57.8;195.50.116.18;True
37.77.57.8;198.6.255.37;True
37.77.57.8;198.6.255.40;True
37.77.57.8;202.51.247.10;True
37.77.57.8;202.214.86.252;True
37.77.57.8;206.223.132.89;True
37.77.57.8;217.8.97.6;True
37.77.57.8;217.8.98.42;True
37.77.57.8;217.8.98.46;True
37.77.57.16;149.20.48.61;True
37.77.57.16;149.20.48.77;True
37.77.57.16;173.36.254.164;True
37.77.57.16;193.162.145.50;True
37.77.57.16;195.50.116.18;True
37.77.57.16;198.6.255.37;True
37.77.57.16;198.6.255.40;True
37.77.57.16;202.51.247.10;True
37.77.57.16;202.214.86.252;True
37.77.57.16;206.223.132.89;True
37.77.57.16;217.8.97.6;True
37.77.57.16;217.8.98.42;True
37.77.57.16;217.8.98.46;True
37.77.57.24;149.20.48.61;True
37.77.57.24;149.20.48.77;True
37.77.57.24;173.36.254.164;True
37.77.57.24;193.162.145.50;True
37.77.57.24;195.50.116.18;True
37.77.57.24;198.6.255.37;True
37.77.57.24;198.6.255.40;True
37.77.57.24;202.51.247.10;True
37.77.57.24;202.214.86.252;True
37.77.57.24;206.223.132.89;True
37.77.57.24;217.8.97.6;True
37.77.57.24;217.8.98.42;True
37.77.57.24;217.8.98.46;True
37.77.57.32;149.20.48.61;True
37.77.57.32;149.20.48.77;True
37.77.57.32;173.36.254.164;True
37.77.57.32;193.162.145.50;True
37.77.57.32;195.50.116.18;True
37.77.57.32;198.6.255.37;True
37.77.57.32;198.6.255.40;True
37.77.57.32;202.51.247.10;True
37.77.57.32;202.214.86.252;True
37.77.57.32;206.223.132.89;True
37.77.57.32;217.8.97.6;True
37.77.57.32;217.8.98.42;True
37.77.57.32;217.8.98.46;True
37.77.57.40;149.20.48.61;True
37.77.57.40;149.20.48.77;True
37.77.57.40;173.36.254.164;True
37.77.57.40;193.162.145.50;True
37.77.57.40;195.50.116.18;True
37.77.57.40;198.6.255.37;True
37.77.57.40;198.6.255.40;True
37.77.57.40;202.51.247.10;True
37.77.57.40;202.214.86.252;True
37.77.57.40;206.223.132.89;True
37.77.57.40;217.8.97.6;True
37.77.57.40;217.8.98.42;True
37.77.57.40;217.8.98.46;True
37.77.57.48;149.20.48.61;True
37.77.57.48;149.20.48.77;True
37.77.57.48;173.36.254.164;True
37.77.57.48;193.162.145.50;True
37.77.57.48;195.50.116.18;True
37.77.57.48;198.6.255.37;True
37.77.57.48;198.6.255.40;True
37.77.57.48;202.51.247.10;True
37.77.57.48;202.214.86.252;True
37.77.57.48;206.223.132.89;True
37.77.57.48;217.8.97.6;True
37.77.57.48;217.8.98.42;True
37.77.57.48;217.8.98.46;True
37.77.57.56;149.20.48.61;True
37.77.57.56;149.20.48.77;True
37.77.57.56;173.36.254.164;True
37.77.57.56;193.162.145.50;True
37.77.57.56;195.50.116.18;True
37.77.57.56;198.6.255.37;True
37.77.57.56;198.6.255.40;True
37.77.57.56;202.51.247.10;True
37.77.57.56;202.214.86.252;True
37.77.57.56;206.223.132.89;True
37.77.57.56;217.8.97.6;True
37.77.57.56;217.8.98.42;True
37.77.57.56;217.8.98.46;True
37.77.57.60;149.20.48.61;True
37.77.57.60;149.20.48.77;True
37.77.57.60;173.36.254.164;True
37.77.57.60;193.162.145.50;True
37.77.57.60;195.50.116.18;True
37.77.57.60;198.6.255.37;True
37.77.57.60;198.6.255.40;True
37.77.57.60;202.51.247.10;True
37.77.57.60;202.214.86.252;True
37.77.57.60;206.223.132.89;True
37.77.57.60;217.8.97.6;True
37.77.57.60;217.8.98.42;True
37.77.57.60;217.8.98.46;True
37.77.57.64;149.20.48.61;True
37.77.57.64;149.20.48.77;True
37.77.57.64;173.36.254.164;True
37.77.57.64;193.162.145.50;True
37.77.57.64;195.50.116.18;True
37.77.57.64;198.6.255.37;True
37.77.57.64;198.6.255.40;True
37.77.57.64;202.51.247.10;True
37.77.57.64;202.214.86.252;True
37.77.57.64;206.223.132.89;True
37.77.57.64;217.8.97.6;True
37.77.57.64;217.8.98.42;True
37.77.57.64;217.8.98.46;True
37.77.57.96;149.20.48.61;True
37.77.57.96;149.20.48.77;True
37.77.57.96;173.36.254.164;True
37.77.57.96;193.162.145.50;True
37.77.57.96;195.50.116.18;True
37.77.57.96;198.6.255.37;True
37.77.57.96;198.6.255.40;True
37.77.57.96;202.51.247.10;True
37.77.57.96;202.214.86.252;True
37.77.57.96;206.223.132.89;True
37.77.57.96;217.8.97.6;True
37.77.57.96;217.8.98.42;True
37.77.57.96;217.8.98.46;True
37.77.57.104;149.20.48.61;True
37.77.57.104;149.20.48.77;True
37.77.57.104;173.36.254.164;True
37.77.57.104;193.162.145.50;True
37.77.57.104;195.50.116.18;True
37.77.57.104;198.6.255.37;True
37.77.57.104;198.6.255.40;True
37.77.57.104;202.51.247.10;True
37.77.57.104;202.214.86.252;True
37.77.57.104;206.223.132.89;True
37.77.57.104;217.8.97.6;True
37.77.57.104;217.8.98.42;True
37.77.57.104;217.8.98.46;True
37.77.57.112;149.20.48.61;True
37.77.57.112;149.20.48.77;True
37.77.57.112;173.36.254.164;True
37.77.57.112;193.162.145.50;True
37.77.57.112;195.50.116.18;True
37.77.57.112;198.6.255.37;True
37.77.57.112;198.6.255.40;True
37.77.57.112;202.51.247.10;True
37.77.57.112;202.214.86.252;True
37.77.57.112;206.223.132.89;True
37.77.57.112;217.8.97.6;True
37.77.57.112;217.8.98.42;True
37.77.57.112;217.8.98.46;True
37.77.57.120;149.20.48.61;True
37.77.57.120;149.20.48.77;True
37.77.57.120;173.36.254.164;True
37.77.57.120;193.162.145.50;True
37.77.57.120;195.50.116.18;True
37.77.57.120;198.6.255.37;True
37.77.57.120;198.6.255.40;True
37.77.57.120;202.51.247.10;True
37.77.57.120;202.214.86.252;True
37.77.57.120;206.223.132.89;True
37.77.57.120;217.8.97.6;True
37.77.57.120;217.8.98.42;True
37.77.57.120;217.8.98.46;True
37.77.57.128;149.20.48.61;True
37.77.57.128;149.20.48.77;True
37.77.57.128;173.36.254.164;True
37.77.57.128;193.162.145.50;True
37.77.57.128;195.50.116.18;True
37.77.57.128;198.6.255.37;True
37.77.57.128;198.6.255.40;True
37.77.57.128;202.51.247.10;True
37.77.57.128;202.214.86.252;True
37.77.57.128;206.223.132.89;True
37.77.57.128;217.8.97.6;True
37.77.57.128;217.8.98.42;True
37.77.57.128;217.8.98.46;True
37.77.57.192;149.20.48.61;True
37.77.57.192;149.20.48.77;True
37.77.57.192;173.36.254.164;True
37.77.57.192;193.162.145.50;True
37.77.57.192;195.50.116.18;True
37.77.57.192;198.6.255.37;True
37.77.57.192;198.6.255.40;True
37.77.57.192;202.51.247.10;True
37.77.57.192;202.214.86.252;True
37.77.57.192;206.223.132.89;True
37.77.57.192;217.8.97.6;True
37.77.57.192;217.8.98.42;True
37.77.57.192;217.8.98.46;True
37.77.57.196;149.20.48.61;True
37.77.57.196;149.20.48.77;True
37.77.57.196;173.36.254.164;True
37.77.57.196;193.162.145.50;True
37.77.57.196;195.50.116.18;True
37.77.57.196;198.6.255.37;True
37.77.57.196;198.6.255.40;True
37.77.57.196;202.51.247.10;True
37.77.57.196;202.214.86.252;True
37.77.57.196;206.223.132.89;True
37.77.57.196;217.8.97.6;True
37.77.57.196;217.8.98.42;True
37.77.57.196;217.8.98.46;True
37.77.57.200;149.20.48.61;True
37.77.57.200;149.20.48.77;True
37.77.57.200;173.36.254.164;True
37.77.57.200;193.162.145.50;True
37.77.57.200;195.50.116.18;True
37.77.57.200;198.6.255.37;True
37.77.57.200;198.6.255.40;True
37.77.57.200;202.51.247.10;True
37.77.57.200;202.214.86.252;True
37.77.57.200;206.223.132.89;True
37.77.57.200;217.8.97.6;True
37.77.57.200;217.8.98.42;True
37.77.57.200;217.8.98.46;True
37.77.57.208;149.20.48.61;True
37.77.57.208;149.20.48.77;True
37.77.57.208;173.36.254.164;True
37.77.57.208;193.162.145.50;True
37.77.57.208;195.50.116.18;True
37.77.57.208;198.6.255.37;True
37.77.57.208;198.6.255.40;True
37.77.57.208;202.51.247.10;True
37.77.57.208;202.214.86.252;True
37.77.57.208;206.223.132.89;True
37.77.57.208;217.8.97.6;True
37.77.57.208;217.8.98.42;True
37.77.57.208;217.8.98.46;True
37.77.57.224;149.20.48.61;True
37.77.57.224;149.20.48.77;True
37.77.57.224;173.36.254.164;True
37.77.57.224;193.162.145.50;True
37.77.57.224;195.50.116.18;True
37.77.57.224;198.6.255.37;True
37.77.57.224;198.6.255.40;True
37.77.57.224;202.51.247.10;True
37.77.57.224;202.214.86.252;True
37.77.57.224;206.223.132.89;True
37.77.57.224;217.8.97.6;True
37.77.57.224;217.8.98.42;True
37.77.57.224;217.8.98.46;True
37.77.58.0;149.20.48.61;True
37.77.58.0;149.20.48.77;True
37.77.58.0;173.36.254.164;True
37.77.58.0;193.162.145.50;True
37.77.58.0;195.50.116.18;True
37.77.58.0;198.6.255.37;True
37.77.58.0;198.6.255.40;True
37.77.58.0;202.51.247.10;True
37.77.58.0;202.214.86.252;True
37.77.58.0;206.223.132.89;True
37.77.58.0;217.8.97.6;True
37.77.58.0;217.8.98.42;True
37.77.58.0;217.8.98.46;True
37.77.58.64;149.20.48.61;True
37.77.58.64;149.20.48.77;True
37.77.58.64;173.36.254.164;True
37.77.58.64;193.162.145.50;True
37.77.58.64;195.50.116.18;True
37.77.58.64;198.6.255.37;True
37.77.58.64;198.6.255.40;True
37.77.58.64;202.51.247.10;True
37.77.58.64;202.214.86.252;True
37.77.58.64;206.223.132.89;True
37.77.58.64;217.8.97.6;True
37.77.58.64;217.8.98.42;True
37.77.58.64;217.8.98.46;True
37.77.58.128;149.20.48.61;True
37.77.58.128;149.20.48.77;True
37.77.58.128;173.36.254.164;True
37.77.58.128;193.162.145.50;True
37.77.58.128;195.50.116.18;True
37.77.58.128;198.6.255.37;True
37.77.58.128;198.6.255.40;True
37.77.58.128;202.51.247.10;True
37.77.58.128;202.214.86.252;True
37.77.58.128;206.223.132.89;True
37.77.58.128;217.8.97.6;True
37.77.58.128;217.8.98.42;True
37.77.58.128;217.8.98.46;True
37.77.59.0;149.20.48.61;True
37.77.59.0;149.20.48.77;True
37.77.59.0;173.36.254.164;True
37.77.59.0;193.162.145.50;True
37.77.59.0;195.50.116.18;True
37.77.59.0;198.6.255.37;True
37.77.59.0;198.6.255.40;True
37.77.59.0;202.51.247.10;True
37.77.59.0;202.214.86.252;True
37.77.59.0;206.223.132.89;True
37.77.59.0;217.8.97.6;True
37.77.59.0;217.8.98.42;True
37.77.59.0;217.8.98.46;True
37.77.60.0;149.20.48.61;True
37.77.60.0;149.20.48.77;True
37.77.60.0;173.36.254.164;True
37.77.60.0;193.162.145.50;True
37.77.60.0;195.50.116.18;True
37.77.60.0;198.6.255.37;True
37.77.60.0;198.6.255.40;True
37.77.60.0;202.51.247.10;True
37.77.60.0;202.214.86.252;True
37.77.60.0;206.223.132.89;True
37.77.60.0;217.8.97.6;True
37.77.60.0;217.8.98.42;True
37.77.60.0;217.8.98.46;True
37.77.64.0;149.20.48.61;True
37.77.64.0;149.20.48.77;True
37.77.64.0;173.36.254.164;True
37.77.64.0;193.162.145.50;True
37.77.64.0;195.50.116.18;True
37.77.64.0;198.6.255.37;True
37.77.64.0;198.6.255.40;True
37.77.64.0;202.51.247.10;True
37.77.64.0;202.214.86.252;True
37.77.64.0;206.223.132.89;True
37.77.64.0;217.8.97.6;True
37.77.64.0;217.8.98.42;True
37.77.64.0;217.8.98.46;True
37.77.128.0;149.20.48.61;True
37.77.128.0;149.20.48.77;True
37.77.128.0;173.36.254.164;True
37.77.128.0;193.162.145.50;True
37.77.128.0;195.50.116.18;True
37.77.128.0;198.6.255.37;True
37.77.128.0;198.6.255.40;True
37.77.128.0;202.51.247.10;True
37.77.128.0;202.214.86.252;True
37.77.128.0;206.223.132.89;True
37.77.128.0;217.8.97.6;True
37.77.128.0;217.8.98.42;True
37.77.128.0;217.8.98.46;True
37.78.0.0;149.20.48.61;True
37.78.0.0;149.20.48.77;True
37.78.0.0;173.36.254.164;True
37.78.0.0;193.162.145.50;True
37.78.0.0;195.50.116.18;True
37.78.0.0;198.6.255.37;True
37.78.0.0;198.6.255.40;True
37.78.0.0;202.51.247.10;True
37.78.0.0;202.214.86.252;True
37.78.0.0;206.223.132.89;True
37.78.0.0;217.8.97.6;True
37.78.0.0;217.8.98.42;True
37.78.0.0;217.8.98.46;True
37.80.0.0;149.20.48.61;True
37.80.0.0;149.20.48.77;True
37.80.0.0;173.36.254.164;True
37.80.0.0;193.162.145.50;True
37.80.0.0;195.50.116.18;True
37.80.0.0;198.6.255.37;True
37.80.0.0;198.6.255.40;True
37.80.0.0;202.51.247.10;True
37.80.0.0;202.214.86.252;True
37.80.0.0;206.223.132.89;True
37.80.0.0;217.8.97.6;True
37.80.0.0;217.8.98.42;True
37.80.0.0;217.8.98.46;True
37.96.0.0;149.20.48.61;True
37.96.0.0;149.20.48.77;True
37.96.0.0;173.36.254.164;True
37.96.0.0;193.162.145.50;True
37.96.0.0;195.50.116.18;True
37.96.0.0;198.6.255.37;True
37.96.0.0;198.6.255.40;True
37.96.0.0;202.51.247.10;True
37.96.0.0;202.214.86.252;True
37.96.0.0;206.223.132.89;True
37.96.0.0;217.8.97.6;True
37.96.0.0;217.8.98.42;True
37.96.0.0;217.8.98.46;True
37.128.0.0;149.20.48.61;True
37.128.0.0;149.20.48.77;True
37.128.0.0;173.36.254.164;True
37.128.0.0;193.162.145.50;True
37.128.0.0;195.50.116.18;True
37.128.0.0;198.6.255.37;True
37.128.0.0;198.6.255.40;True
37.128.0.0;202.51.247.10;True
37.128.0.0;202.214.86.252;True
37.128.0.0;206.223.132.89;True
37.128.0.0;217.8.97.6;True
37.128.0.0;217.8.98.42;True
37.128.0.0;217.8.98.46;True
38.0.0.0;149.20.48.61;True
38.0.0.0;149.20.48.77;True
38.0.0.0;173.36.254.164;True
38.0.0.0;193.162.145.50;True
38.0.0.0;195.50.116.18;True
38.0.0.0;198.6.255.37;True
38.0.0.0;198.6.255.40;True
38.0.0.0;202.51.247.10;True
38.0.0.0;202.214.86.252;True
38.0.0.0;206.223.132.89;True
38.0.0.0;217.8.97.6;True
38.0.0.0;217.8.98.42;True
38.0.0.0;217.8.98.46;True
38.64.0.0;149.20.48.61;True
38.64.0.0;149.20.48.77;True
38.64.0.0;173.36.254.164;True
38.64.0.0;193.162.145.50;True
38.64.0.0;195.50.116.18;True
38.64.0.0;198.6.255.37;True
38.64.0.0;198.6.255.40;True
38.64.0.0;202.51.247.10;True
38.64.0.0;202.214.86.252;True
38.64.0.0;206.223.132.89;True
38.64.0.0;217.8.97.6;True
38.64.0.0;217.8.98.42;True
38.64.0.0;217.8.98.46;True
38.96.0.0;149.20.48.61;True
38.96.0.0;149.20.48.77;True
38.96.0.0;173.36.254.164;True
38.96.0.0;193.162.145.50;True
38.96.0.0;195.50.116.18;True
38.96.0.0;198.6.255.37;True
38.96.0.0;198.6.255.40;True
38.96.0.0;202.51.247.10;True
38.96.0.0;202.214.86.252;True
38.96.0.0;206.223.132.89;True
38.96.0.0;217.8.97.6;True
38.96.0.0;217.8.98.42;True
38.96.0.0;217.8.98.46;True
38.112.0.0;149.20.48.61;True
38.112.0.0;149.20.48.77;True
38.112.0.0;173.36.254.164;True
38.112.0.0;193.162.145.50;True
38.112.0.0;195.50.116.18;True
38.112.0.0;198.6.255.37;True
38.112.0.0;198.6.255.40;True
38.112.0.0;202.51.247.10;True
38.112.0.0;202.214.86.252;True
38.112.0.0;206.223.132.89;True
38.112.0.0;217.8.97.6;True
38.112.0.0;217.8.98.42;True
38.112.0.0;217.8.98.46;True
38.120.0.0;149.20.48.61;True
38.120.0.0;149.20.48.77;True
38.120.0.0;173.36.254.164;True
38.120.0.0;193.162.145.50;True
38.120.0.0;195.50.116.18;True
38.120.0.0;198.6.255.37;True
38.120.0.0;198.6.255.40;True
38.120.0.0;202.51.247.10;True
38.120.0.0;202.214.86.252;True
38.120.0.0;206.223.132.89;True
38.120.0.0;217.8.97.6;True
38.120.0.0;217.8.98.42;True
38.120.0.0;217.8.98.46;True
38.124.0.0;149.20.48.61;True
38.124.0.0;149.20.48.77;True
38.124.0.0;173.36.254.164;True
38.124.0.0;193.162.145.50;True
38.124.0.0;195.50.116.18;True
38.124.0.0;198.6.255.37;True
38.124.0.0;198.6.255.40;True
38.124.0.0;202.51.247.10;True
38.124.0.0;202.214.86.252;True
38.124.0.0;206.223.132.89;True
38.124.0.0;217.8.97.6;True
38.124.0.0;217.8.98.42;True
38.124.0.0;217.8.98.46;True
38.125.0.0;149.20.48.61;True
38.125.0.0;149.20.48.77;True
38.125.0.0;173.36.254.164;True
38.125.0.0;193.162.145.50;True
38.125.0.0;195.50.116.18;True
38.125.0.0;198.6.255.37;True
38.125.0.0;198.6.255.40;True
38.125.0.0;202.51.247.10;True
38.125.0.0;202.214.86.252;True
38.125.0.0;206.223.132.89;True
38.125.0.0;217.8.97.6;True
38.125.0.0;217.8.98.42;True
38.125.0.0;217.8.98.46;True
38.125.4.0;149.20.48.61;True
38.125.4.0;149.20.48.77;True
38.125.4.0;173.36.254.164;True
38.125.4.0;193.162.145.50;True
38.125.4.0;195.50.116.18;True
38.125.4.0;198.6.255.37;True
38.125.4.0;198.6.255.40;True
38.125.4.0;202.51.247.10;True
38.125.4.0;202.214.86.252;True
38.125.4.0;206.223.132.89;True
38.125.4.0;217.8.97.6;True
38.125.4.0;217.8.98.42;True
38.125.4.0;217.8.98.46;True
38.125.5.0;149.20.48.61;True
38.125.5.0;149.20.48.77;True
38.125.5.0;173.36.254.164;True
38.125.5.0;193.162.145.50;True
38.125.5.0;195.50.116.18;True
38.125.5.0;198.6.255.37;True
38.125.5.0;198.6.255.40;True
38.125.5.0;202.51.247.10;True
38.125.5.0;202.214.86.252;True
38.125.5.0;206.223.132.89;True
38.125.5.0;217.8.97.6;True
38.125.5.0;217.8.98.42;True
38.125.5.0;217.8.98.46;True
38.125.6.0;149.20.48.61;True
38.125.6.0;149.20.48.77;True
38.125.6.0;173.36.254.164;True
38.125.6.0;193.162.145.50;True
38.125.6.0;195.50.116.18;True
38.125.6.0;198.6.255.37;True
38.125.6.0;198.6.255.40;True
38.125.6.0;202.51.247.10;True
38.125.6.0;202.214.86.252;True
38.125.6.0;206.223.132.89;True
38.125.6.0;217.8.97.6;True
38.125.6.0;217.8.98.42;True
38.125.6.0;217.8.98.46;True
38.125.8.0;149.20.48.61;True
38.125.8.0;149.20.48.77;True
38.125.8.0;173.36.254.164;True
38.125.8.0;193.162.145.50;True
38.125.8.0;195.50.116.18;True
38.125.8.0;198.6.255.37;True
38.125.8.0;198.6.255.40;True
38.125.8.0;202.51.247.10;True
