Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Result;Action
NegativeReply;2013/07/03 07:30:37;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 08:00:18;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 08:30:00;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 09:00:25;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 09:30:06;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07800;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
RoundNoReply;2013/07/03 10:00:48;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;*** No map-reply received ***
RoundNoReply;2013/07/03 10:30:30;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;*** No map-reply received ***
RoundNoReply;2013/07/03 11:00:11;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;*** No map-reply received ***
RoundNoReply;2013/07/03 11:30:54;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;*** No map-reply received ***
RoundNormal;2013/07/03 12:00:37;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;217.8.98.42;0.01900;1;153.16.49.112/29;10;0;0;0;192.168.1.66;up;1;100
NegativeReply;2013/07/03 12:30:18;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
RoundNormal;2013/07/03 13:00:00;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;217.8.98.42;0.01800;1;153.16.49.112/29;10;0;0;0;192.168.1.66;up;1;100
NegativeReply;2013/07/03 13:30:42;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 14:00:25;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 14:30:07;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01500;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
RoundNoReply;2013/07/03 15:00:49;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;*** No map-reply received ***
