Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Locator_Number;Locator_Addr;Locator_State;Locator_Priority;Locator_Weight
RoundNormal;2013/07/03 07:00:21;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.38.120;0.45000;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 07:30:08;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.38.120;0.44700;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 08:00:54;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.38.120;0.45000;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 08:30:37;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.38.120;0.45600;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 09:00:21;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.38.120;0.43900;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 09:30:09;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.38.120;0.48800;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 10:00:05;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.38.120;0.50700;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNoReply;2013/07/03 10:30:49;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;*** No map-reply received ***
RoundNormal;2013/07/03 11:00:32;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.19.223;0.44800;1;153.16.18.176/28;60;1;0;0;122.177.19.223;up;1;100
RoundNormal;2013/07/03 11:30:18;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.19.223;0.44500;1;153.16.18.176/28;60;1;0;0;122.177.19.223;up;1;100
RoundNoReply;2013/07/03 12:00:05;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;*** No map-reply received ***
RoundNormal;2013/07/03 12:30:49;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.55.187;0.42400;1;153.16.18.176/28;60;1;0;0;122.177.55.187;up;1;100
RoundNormal;2013/07/03 13:00:32;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.55.187;0.43000;1;153.16.18.176/28;60;1;0;0;122.177.55.187;up;1;100
RoundNormal;2013/07/03 13:30:18;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.55.187;0.42600;1;153.16.18.176/28;60;1;0;0;122.177.55.187;up;1;100
RoundNormal;2013/07/03 14:00:05;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.55.187;0.42500;1;153.16.18.176/28;60;1;0;0;122.177.55.187;up;1;100
RoundNoReply;2013/07/03 14:30:49;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;*** No map-reply received ***
RoundNormal;2013/07/03 15:00:40;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.55.187;0.42300;1;153.16.18.176/28;60;1;0;0;122.177.55.187;up;1;100
RoundNormal;2013/07/03 15:30:22;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.55.187;0.41700;1;153.16.18.176/28;60;1;0;0;122.177.55.187;up;1;100
RoundNormal;2013/07/03 16:00:09;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.55.187;0.42000;1;153.16.18.176/28;60;1;0;0;122.177.55.187;up;1;100
RoundNormal;2013/07/03 16:30:56;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.55.187;0.42300;1;153.16.18.176/28;60;1;0;0;122.177.55.187;up;1;100
RoundNormal;2013/07/03 17:00:39;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39100;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 17:30:30;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 18:00:20;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39200;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 18:30:28;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39000;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 19:00:15;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 19:30:59;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 20:00:45;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 20:30:34;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39200;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 21:00:31;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 21:30:31;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39200;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 22:00:20;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39200;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 22:30:08;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39100;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 23:00:55;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/03 23:30:45;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/04 00:00:34;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/04 00:30:22;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
